time_s,round,row,column,adc_u8,voltage_v
22.805006,12,9,1,142,1.837647
22.856061,12,9,3,69,0.892941
22.905890,12,9,5,135,1.747059
22.955047,12,9,7,80,1.035294
23.006939,12,9,9,140,1.811765
23.054968,12,9,11,136,1.760000
23.101923,12,11,1,139,1.798824
23.155113,12,11,3,125,1.617647
23.207061,12,11,5,14,0.181176
23.256074,12,11,7,104,1.345882
23.306993,12,11,9,142,1.837647
23.353903,12,11,11,140,1.811765
23.405026,13,1,1,140,1.811765
23.457017,13,1,3,119,1.540000
23.506549,13,1,5,133,1.721176
23.555907,13,1,7,0,0.000000
23.605926,13,1,9,138,1.785882
23.655073,13,1,11,140,1.811765
23.706976,13,3,1,142,1.837647
23.754917,13,3,3,141,1.824706
23.803895,13,3,5,135,1.747059
23.856943,13,3,7,140,1.811765
23.902871,13,3,9,142,1.837647
23.956889,13,3,11,139,1.798824
24.001836,13,5,1,139,1.798824
24.055969,13,5,3,140,1.811765
24.105820,13,5,5,141,1.824706
24.154783,13,5,7,140,1.811765
24.203812,13,5,9,138,1.785882
24.254765,13,5,11,138,1.785882
24.306905,13,7,1,142,1.837647
24.355858,13,7,3,141,1.824706
24.403888,13,7,5,138,1.785882
24.454954,13,7,7,140,1.811765
24.506873,13,7,9,138,1.785882
24.554927,13,7,11,137,1.772941
24.606874,13,9,1,140,1.811765
24.656041,13,9,3,69,0.892941
24.706071,13,9,5,136,1.760000
24.754961,13,9,7,80,1.035294
24.806970,13,9,9,141,1.824706
24.852918,13,9,11,136,1.760000
24.905952,13,11,1,140,1.811765
24.956039,13,11,3,125,1.617647
25.006012,13,11,5,14,0.181176
25.053812,13,11,7,103,1.332941
25.106880,13,11,9,142,1.837647
25.156914,13,11,11,138,1.785882
25.205922,14,1,1,141,1.824706
25.254847,14,1,3,119,1.540000
25.304913,14,1,5,133,1.721176
25.354964,14,1,7,0,0.000000
25.404987,14,1,9,138,1.785882
25.456921,14,1,11,138,1.785882
25.504986,14,3,1,140,1.811765
25.556026,14,3,3,140,1.811765
25.606925,14,3,5,136,1.760000
25.654993,14,3,7,139,1.798824
25.704953,14,3,9,139,1.798824
25.756959,14,3,11,136,1.760000
25.806941,14,5,1,141,1.824706
25.851855,14,5,3,141,1.824706
25.905973,14,5,5,137,1.772941
25.955911,14,5,7,140,1.811765
26.005954,14,5,9,139,1.798824
26.056854,14,5,11,140,1.811765
26.104914,14,7,1,141,1.824706
26.155897,14,7,3,141,1.824706
26.205851,14,7,5,138,1.785882
26.254916,14,7,7,140,1.811765
26.304911,14,7,9,140,1.811765
26.356911,14,7,11,139,1.798824
26.406827,14,9,1,142,1.837647
26.456940,14,9,3,69,0.892941
26.505033,14,9,5,135,1.747059
26.554038,14,9,7,80,1.035294
26.605001,14,9,9,142,1.837647
26.656941,14,9,11,136,1.760000
26.706018,14,11,1,142,1.837647
26.757059,14,11,3,124,1.604706
26.805113,14,11,5,13,0.168235
26.855028,14,11,7,104,1.345882
26.907017,14,11,9,141,1.824706
26.955035,14,11,11,137,1.772941
27.004981,15,1,1,140,1.811765
27.054963,15,1,3,119,1.540000
27.106968,15,1,5,133,1.721176
27.155958,15,1,7,0,0.000000
27.206930,15,1,9,139,1.798824
27.257017,15,1,11,140,1.811765
27.305951,15,3,1,140,1.811765
27.355948,15,3,3,139,1.798824
27.405972,15,3,5,135,1.747059
27.455872,15,3,7,140,1.811765
27.505993,15,3,9,142,1.837647
27.556089,15,3,11,135,1.747059
27.604043,15,5,1,140,1.811765
27.655030,15,5,3,142,1.837647
27.705200,15,5,5,139,1.798824
27.756020,15,5,7,140,1.811765
27.802866,15,5,9,138,1.785882
27.854955,15,5,11,139,1.798824
27.904975,15,7,1,139,1.798824
27.956923,15,7,3,142,1.837647
28.005064,15,7,5,138,1.785882
28.057051,15,7,7,140,1.811765
28.106007,15,7,9,139,1.798824
28.152835,15,7,11,138,1.785882
28.205915,15,9,1,142,1.837647
28.255976,15,9,3,69,0.892941
28.304856,15,9,5,136,1.760000
28.354987,15,9,7,88,1.138824
28.404956,15,9,9,138,1.785882
28.455103,15,9,11,138,1.785882
28.504995,15,11,1,140,1.811765
28.556974,15,11,3,134,1.734118
28.607008,15,11,5,49,0.634118
28.656954,15,11,7,140,1.811765
28.705069,15,11,9,139,1.798824
28.755908,15,11,11,124,1.604706
28.805959,16,1,1,140,1.811765
28.855018,16,1,3,128,1.656471
28.904928,16,1,5,128,1.656471
28.954827,16,1,7,0,0.000000
29.006900,16,1,9,139,1.798824
29.054895,16,1,11,93,1.203529
29.104937,16,3,1,142,1.837647
29.155024,16,3,3,139,1.798824
29.205110,16,3,5,140,1.811765
29.255050,16,3,7,141,1.824706
29.305071,16,3,9,138,1.785882
29.355972,16,3,11,139,1.798824
29.403985,16,5,1,141,1.824706
29.455965,16,5,3,141,1.824706
29.503964,16,5,5,142,1.837647
29.554316,16,5,7,140,1.811765
29.606038,16,5,9,142,1.837647
29.654067,16,5,11,137,1.772941
29.706084,16,7,1,142,1.837647
29.756057,16,7,3,142,1.837647
29.805994,16,7,5,140,1.811765
29.855043,16,7,7,143,1.850588
29.905944,16,7,9,141,1.824706
29.956996,16,7,11,140,1.811765
30.003996,16,9,1,141,1.824706
30.055033,16,9,3,134,1.734118
