action_elapsed_s,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018
2.150000,0.000000,0.544343,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.119883,0.282354,0.000000,0.000000,0.000000,0.955040,0.649490,0.000000,0.000000,0.000000
2.200000,0.000000,0.537692,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.129860,0.282354,0.000000,0.000000,0.000000,0.894283,0.642839,0.000000,0.000000,0.000000
2.250000,0.000000,0.531041,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.139836,0.282354,0.000000,0.000000,0.000000,0.833527,0.636188,0.000000,0.000000,0.000000
2.300000,0.000000,0.524390,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.149813,0.282354,0.000000,0.000000,0.000000,0.772770,0.629537,0.000000,0.000000,0.000000
2.350000,0.000000,0.517739,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.159790,0.282354,0.000000,0.000000,0.000000,0.712013,0.622886,0.000000,0.000000,0.000000
2.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.089095,0.000000,0.000000,0.000000,0.597795,0.039706,0.000391,0.000000,0.000000,0.000000,0.153800,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.525000
3.050000,0.094035,0.000000,0.000000,0.000000,0.597795,0.039706,0.002637,0.000000,0.000000,0.000000,0.158741,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.525000
3.100000,0.098975,0.000000,0.000000,0.000000,0.597795,0.039706,0.004883,0.000000,0.000000,0.000000,0.163681,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.525000
3.150000,0.103915,0.000000,0.000000,0.000000,0.597795,0.039706,0.007128,0.000000,0.000000,0.000000,0.168621,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.525000
3.200000,0.104411,0.000000,0.000000,0.000000,0.602232,0.035269,0.011791,0.000000,0.000000,0.000000,0.169117,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.529437
3.250000,0.104411,0.000000,0.000000,0.000000,0.607164,0.030336,0.016724,0.000000,0.000000,0.000000,0.169117,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.534370
3.300000,0.104411,0.000000,0.000000,0.000000,0.612096,0.025404,0.021656,0.000000,0.000000,0.000000,0.169117,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.539303
3.350000,0.104411,0.000000,0.000000,0.000000,0.613970,0.023530,0.023530,0.000000,0.000000,0.000000,0.153735,0.043129,0.000000,0.000000,0.000000,0.000000,1.000000,0.525794
3.400000,0.104411,0.000000,0.000000,0.000000,0.613970,0.023530,0.023530,0.000000,0.000000,0.000000,0.128931,0.087778,0.000000,0.000000,0.000000,0.000000,1.000000,0.500989
3.450000,0.104411,0.000000,0.000000,0.000000,0.613970,0.023530,0.023530,0.000000,0.000000,0.000000,0.104126,0.132426,0.000000,0.000000,0.000000,0.000000,1.000000,0.476185
3.500000,0.104411,0.000000,0.000000,0.000000,0.612219,0.023530,0.027032,0.000000,0.000000,0.000000,0.086484,0.173999,0.000000,0.000000,0.000000,0.000000,1.000000,0.451537
3.550000,0.104411,0.000000,0.000000,0.000000,0.607346,0.023530,0.036779,0.000000,0.000000,0.000000,0.081610,0.210091,0.000000,0.000000,0.000000,0.000000,1.000000,0.427170
3.600000,0.104411,0.000000,0.000000,0.000000,0.602473,0.023530,0.046526,0.000000,0.000000,0.000000,0.076736,0.246183,0.000000,0.000000,0.000000,0.000000,1.000000,0.402802
3.650000,0.105638,0.000000,0.000000,0.000000,0.597954,0.023530,0.057154,0.000000,0.000000,0.000000,0.072216,0.283494,0.000000,0.000000,0.000000,0.000000,1.000000,0.379729
3.700000,0.136233,0.000000,0.000000,0.000000,0.601918,0.023530,0.088871,0.000000,0.000000,0.000000,0.076181,0.350005,0.000000,0.000000,0.000000,0.000000,1.000000,0.387658
3.750000,0.166829,0.000000,0.000000,0.000000,0.605882,0.023530,0.120587,0.000000,0.000000,0.000000,0.080146,0.416517,0.000000,0.000000,0.000000,0.000000,1.000000,0.395587
3.800000,0.197424,0.000000,0.000000,0.000000,0.609846,0.023530,0.152304,0.000000,0.000000,0.000000,0.084111,0.483028,0.000000,0.000000,0.000000,0.000000,1.000000,0.403516
3.850000,0.228019,0.000000,0.000000,0.000000,0.613811,0.023530,0.184020,0.000000,0.000000,0.000000,0.088076,0.549539,0.000000,0.000000,0.000000,0.000000,1.000000,0.411445
3.900000,0.248183,0.000000,0.000000,0.000000,0.595373,0.023530,0.185295,0.000000,0.000000,0.000000,0.078936,0.630214,0.000000,0.000000,0.000000,0.000000,1.000000,0.374569
3.950000,0.267910,0.000000,0.000000,0.000000,0.575996,0.023530,0.185295,0.000000,0.000000,0.000000,0.069247,0.711482,0.000000,0.000000,0.000000,0.000000,1.000000,0.335816
4.000000,0.287637,0.000000,0.000000,0.000000,0.556620,0.023530,0.185295,0.000000,0.000000,0.000000,0.059559,0.792751,0.000000,0.000000,0.000000,0.000000,1.000000,0.297063
4.050000,0.306414,0.000000,0.000000,0.000000,0.549265,0.019498,0.213015,0.000000,0.000000,0.000000,0.055881,0.853828,0.000000,0.000000,0.000000,0.000000,1.000000,0.262948
4.100000,0.324609,0.000000,0.000000,0.000000,0.549265,0.012999,0.257696,0.000000,0.000000,0.000000,0.055881,0.902552,0.000000,0.000000,0.000000,0.000000,1.000000,0.231671
4.150000,0.342805,0.000000,0.000000,0.000000,0.549265,0.006499,0.302378,0.000000,0.000000,0.000000,0.055881,0.951276,0.000000,0.000000,0.000000,0.000000,1.000000,0.200394
4.200000,0.361001,0.000000,0.000000,0.000000,0.549265,0.000000,0.347059,0.000000,0.000000,0.000000,0.055881,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.169117
4.250000,0.361001,0.000000,0.000000,0.000000,0.553968,0.000000,0.379981,0.000000,0.000000,0.000000,0.060584,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.197337
4.300000,0.361001,0.000000,0.000000,0.000000,0.558670,0.000000,0.412904,0.000000,0.000000,0.000000,0.065287,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.225556
4.350000,0.361001,0.000000,0.000000,0.000000,0.563373,0.000000,0.445826,0.000000,0.000000,0.000000,0.069991,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.253775
4.400000,0.368532,0.000000,0.000000,0.000000,0.565440,0.000841,0.463994,0.000000,0.000000,0.000000,0.070208,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.268026
4.450000,0.381968,0.000000,0.000000,0.000000,0.565440,0.002341,0.470592,0.000000,0.000000,0.000000,0.066909,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.271325
4.500000,0.395404,0.000000,0.000000,0.000000,0.565440,0.003840,0.477191,0.000000,0.000000,0.000000,0.063610,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.274624
4.550000,0.408840,0.000000,0.000000,0.000000,0.565440,0.005340,0.483789,0.000000,0.000000,0.000000,0.060310,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.277923
4.600000,0.422276,0.000000,0.000000,0.000000,0.565440,0.006840,0.490388,0.000000,0.000000,0.000000,0.057011,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.281223
4.650000,0.374193,0.000000,0.000000,0.000000,0.568674,0.005883,0.394150,0.000000,0.000000,0.000000,0.059115,0.800064,0.000000,0.000000,0.000000,0.000000,1.000000,0.327632
4.700000,0.294071,0.000000,0.000000,0.000000,0.573593,0.003647,0.244352,0.000000,0.000000,0.000000,0.064034,0.495998,0.000000,0.000000,0.000000,0.000000,1.000000,0.396494
4.750000,0.213948,0.000000,0.000000,0.000000,0.578513,0.001411,0.094555,0.000000,0.000000,0.000000,0.068953,0.191933,0.000000,0.000000,0.000000,0.000000,1.000000,0.465356
4.800000,0.163373,0.000000,0.000000,0.000000,0.581617,0.000000,0.002606,0.000000,0.000000,0.000000,0.075641,0.001710,0.000000,0.000000,0.000000,0.000000,1.000000,0.512406
4.850000,0.163373,0.000000,0.000000,0.000000,0.581617,0.000000,0.009673,0.000000,0.000000,0.000000,0.085358,0.006348,0.000000,0.000000,0.000000,0.000000,1.000000,0.522123
4.900000,0.163373,0.000000,0.000000,0.000000,0.581617,0.000000,0.016740,0.000000,0.000000,0.000000,0.095074,0.010985,0.000000,0.000000,0.000000,0.000000,1.000000,0.531839
4.950000,0.164140,0.000000,0.000000,0.000000,0.581617,0.000000,0.023718,0.000000,0.000000,0.000000,0.104411,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.541176
5.000000,0.183746,0.000000,0.000000,0.000000,0.581617,0.000000,0.028533,0.000000,0.000000,0.000000,0.104411,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.541176
5.050000,0.203352,0.000000,0.000000,0.000000,0.581617,0.000000,0.033347,0.000000,0.000000,0.000000,0.104411,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.541176
