action_elapsed_s,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018
2.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100000,0.000000,0.000000,0.000000,0.000000,0.545862,0.000000,0.088236,0.000000,0.000000,0.000000,0.104411,0.031619,0.000000,0.000000,0.000000,0.000000,1.000000,0.544579
3.150000,0.000000,0.000000,0.000000,0.000000,0.541020,0.000000,0.088236,0.000000,0.000000,0.000000,0.104411,0.031619,0.000000,0.000000,0.000000,0.000000,1.000000,0.549421
3.200000,0.000000,0.000000,0.000000,0.000000,0.536178,0.000000,0.088236,0.000000,0.000000,0.000000,0.104411,0.031619,0.000000,0.000000,0.000000,0.000000,1.000000,0.554263
3.250000,0.009619,0.000000,0.000000,0.000000,0.533087,0.000000,0.090000,0.000000,0.000000,0.000000,0.104411,0.038672,0.000000,0.000000,0.000000,0.000000,1.000000,0.546772
3.300000,0.036203,0.000000,0.000000,0.000000,0.533087,0.000000,0.094873,0.000000,0.000000,0.000000,0.104411,0.058166,0.000000,0.000000,0.000000,0.000000,1.000000,0.517530
3.350000,0.062786,0.000000,0.000000,0.000000,0.533087,0.000000,0.099747,0.000000,0.000000,0.000000,0.104411,0.077660,0.000000,0.000000,0.000000,0.000000,1.000000,0.488288
3.400000,0.088443,0.000000,0.000000,0.000000,0.533087,0.000000,0.104829,0.000000,0.000000,0.000000,0.104411,0.107943,0.000000,0.000000,0.000000,0.000000,1.000000,0.459046
3.450000,0.093317,0.000000,0.000000,0.000000,0.533087,0.000000,0.114576,0.000000,0.000000,0.000000,0.104411,0.380224,0.000000,0.000000,0.000000,0.000000,1.000000,0.429802
3.500000,0.098191,0.000000,0.000000,0.000000,0.533087,0.000000,0.124324,0.000000,0.000000,0.000000,0.104411,0.652505,0.000000,0.000000,0.000000,0.000000,1.000000,0.400557
3.550000,0.103065,0.000000,0.000000,0.000000,0.533087,0.000000,0.134072,0.000000,0.000000,0.000000,0.104411,0.924785,0.000000,0.000000,0.000000,0.000000,1.000000,0.371313
3.600000,0.106838,0.000000,0.000000,0.000000,0.533087,0.000000,0.153753,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.372942
3.650000,0.110191,0.000000,0.000000,0.000000,0.533087,0.000000,0.177224,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.386355
3.700000,0.113544,0.000000,0.000000,0.000000,0.533087,0.000000,0.200695,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.399767
3.750000,0.116897,0.000000,0.000000,0.000000,0.533087,0.000000,0.224167,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.413179
3.800000,0.120250,0.000000,0.000000,0.000000,0.533087,0.000000,0.247638,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.426591
3.850000,0.116121,0.000000,0.000000,0.000000,0.537554,0.000000,0.258933,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.423474
3.900000,0.111155,0.000000,0.000000,0.000000,0.542521,0.000000,0.268866,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.418508
3.950000,0.106188,0.000000,0.000000,0.000000,0.547488,0.000000,0.278799,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.413541
4.000000,0.107560,0.000000,0.000000,0.000000,0.549265,0.000000,0.279205,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.411764
4.050000,0.112463,0.000000,0.000000,0.000000,0.549265,0.000000,0.274302,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.411764
4.100000,0.117366,0.000000,0.000000,0.000000,0.549265,0.000000,0.269399,0.000000,0.000000,0.000000,0.104411,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.411764
4.150000,0.117268,0.000000,0.000000,0.000000,0.549265,0.000000,0.269497,0.000000,0.000000,0.000000,0.102752,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.415083
4.200000,0.107590,0.000000,0.000000,0.000000,0.549265,0.000000,0.279175,0.000000,0.000000,0.000000,0.097913,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.424761
4.250000,0.097913,0.000000,0.000000,0.000000,0.549265,0.000000,0.288852,0.000000,0.000000,0.000000,0.093074,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.434439
4.300000,0.088235,0.000000,0.000000,0.000000,0.549265,0.000000,0.298530,0.000000,0.000000,0.000000,0.088235,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.444117
4.350000,0.088235,0.000000,0.000000,0.000000,0.549265,0.000000,0.310550,0.000000,0.000000,0.000000,0.092242,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.392028
4.400000,0.088235,0.000000,0.000000,0.000000,0.549265,0.000000,0.322571,0.000000,0.000000,0.000000,0.096249,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.339939
4.450000,0.088235,0.000000,0.000000,0.000000,0.549265,0.000000,0.334591,0.000000,0.000000,0.000000,0.100255,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.287850
4.500000,0.088235,0.000000,0.000000,0.000000,0.549265,0.000000,0.346611,0.000000,0.000000,0.000000,0.104262,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.235761
4.550000,0.093038,0.000000,0.000000,0.000000,0.544462,0.000000,0.380681,0.000000,0.000000,0.000000,0.090002,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.291461
4.600000,0.098027,0.000000,0.000000,0.000000,0.539472,0.000000,0.415603,0.000000,0.000000,0.000000,0.075035,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.351327
4.650000,0.103016,0.000000,0.000000,0.000000,0.534483,0.000000,0.450525,0.000000,0.000000,0.000000,0.060068,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.411193
