timestamp,elapsed_s,round,scan_index,sensor_row,point_in_row,source_label,raw_voltage_v,signal_0_to_1,missing_filled_zero
2026-09-08T16:59:15.290,8.005962,45,19,3,3,R3C6,1.785882,0.0,0
2026-09-08T16:59:15.290,8.005962,45,20,3,4,R3C7,0,0,1
2026-09-08T16:59:15.290,8.005962,45,21,3,5,R3C8,0,0,1
2026-09-08T16:59:15.290,8.005962,45,22,3,6,R3C9,0,0,1
2026-09-08T16:59:15.290,8.005962,45,23,3,7,R3C10,0,0,1
2026-09-08T16:59:15.290,8.005962,45,24,3,8,R3C11,0,0,1
2026-09-08T16:59:15.290,8.005962,45,25,4,1,R4C5,1.708235,0.0,0
2026-09-08T16:59:15.290,8.005962,45,26,4,2,R4C6,1.76,0.0,0
2026-09-08T16:59:15.290,8.005962,45,27,4,3,R4C7,0,0,1
2026-09-08T16:59:15.290,8.005962,45,28,4,4,R4C8,0,0,1
2026-09-08T16:59:15.290,8.005962,45,29,4,5,R4C9,0,0,1
2026-09-08T16:59:15.290,8.005962,45,30,4,6,R4C10,0,0,1
2026-09-08T16:59:15.290,8.005962,45,31,4,7,R4C11,0,0,1
2026-09-08T16:59:15.290,8.005962,45,32,4,8,R4C12,0,0,1
2026-09-08T16:59:15.290,8.005962,45,33,5,1,R5C6,1.785882,0.0,0
2026-09-08T16:59:15.290,8.005962,45,34,5,2,R5C7,0,0,1
2026-09-08T16:59:15.290,8.005962,45,35,5,3,R5C8,0,0,1
2026-09-08T16:59:15.290,8.005962,45,36,5,4,R5C9,0,0,1
2026-09-08T16:59:15.290,8.005962,45,37,5,5,R5C10,0,0,1
2026-09-08T16:59:15.290,8.005962,45,38,5,6,R5C11,0,0,1
2026-09-08T16:59:15.290,8.005962,45,39,5,7,R5C12,0,0,1
2026-09-08T16:59:15.290,8.005962,45,40,5,8,R5C1,1.798823,0.0,0
2026-09-08T16:59:15.290,8.005962,45,41,6,1,R6C7,0,0,1
2026-09-08T16:59:15.290,8.005962,45,42,6,2,R6C8,0,0,1
2026-09-08T16:59:15.290,8.005962,45,43,6,3,R6C9,0,0,1
2026-09-08T16:59:15.290,8.005962,45,44,6,4,R6C10,0,0,1
