action_elapsed_s,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018,N019,N020,N021,N022,N023,N024,N025,N026,N027,N028,N029,N030,N031,N032,N033,N034,N035,N036
2.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.545862,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.031619,0.088236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.544579,0.000000,0.000000,0.000000,0.000000,1.000000
3.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.541020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.031619,0.088236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.549421,0.000000,0.000000,0.000000,0.000000,1.000000
3.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.031619,0.088236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.554263,0.000000,0.000000,0.000000,0.000000,1.000000
3.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533087,0.000000,0.009619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.038672,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546772,0.000000,0.000000,0.000000,0.000000,1.000000
3.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533087,0.000000,0.036203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.058166,0.094873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.517530,0.000000,0.000000,0.000000,0.000000,1.000000
3.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533087,0.000000,0.062786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.077660,0.099747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.488288,0.000000,0.000000,0.000000,0.000000,1.000000
3.400000,0.567588,0.000000,0.090383,0.000000,0.000000,0.000000,0.533087,0.000000,0.088443,0.000000,0.000000,0.000000,0.120588,0.017590,0.086088,0.000000,0.000000,0.000000,0.104411,0.107943,0.104829,0.000000,0.000000,0.000000,0.591853,0.000000,0.000000,0.000000,0.000000,1.000000,0.459046,0.000000,0.000000,0.000000,0.000000,1.000000
